employee,duty,shift,week,bid
44 Noah Hughes,Problem Resolution,Late,Week 3,1.0
44 Noah Hughes,Problem Resolution,Night,Week 1,0.0
45 Ella Scott,Housekeeping,Early,Week 3,1.0
45 Ella Scott,Machine Operation,Late,Week 2,1.0
45 Ella Scott,Scanning and Bar Coding,Night,Week 1,1.0
46 Mohammed Johnson,Bagging and Bundling,Night,Week 3,1.0
46 Mohammed Johnson,Handling Specialised Items,Late,Week 2,1.0
46 Mohammed Johnson,Machine Operation,Early,Week 1,1.0
4 Belissica Gellor,Coordination with Transportation,Late,Week 2,1.0
4 Belissica Gellor,Inventory Management,Night,Week 1,0.0
4 Belissica Gellor,Safety Compliance,Early,Week 3,1.0
5 Max Ivanov,Cleaning and maintenance,Night,Week 1,1.0
5 Max Ivanov,Machine Operation,Late,Week 3,1.0
5 Max Ivanov,Quality Control Checks,Early,Week 2,1.0
6 Zoe Jones,Customer Service,Early,Week 3,1.0
6 Zoe Jones,Customer Service,Night,Week 1,1.0
6 Zoe Jones,Labeling,Late,Week 2,0.0
7 Emma Nguyen,Bagging and Bundling,Early,Week 1,1.0
7 Emma Nguyen,Handling Specialised Items,Night,Week 3,1.0
7 Emma Nguyen,Record Keeping,Late,Week 2,1.0
8 Mia Rossi,Mail Sorting,Late,Week 2,1.0
8 Mia Rossi,Quality Control Checks,Night,Week 3,1.0
8 Mia Rossi,Safety Compliance,Early,Week 1,1.0
9 Carlos Garcia,Coordination with Transportation,Night,Week 2,1.0
9 Carlos Garcia,Labeling,Late,Week 1,0.0
9 Carlos Garcia,Loading and Unloading,Early,Week 3,1.0
