employee,duty,shift,bid
13 Aiden Martin,Cleaning and maintenance,Night,1.0
14 Alexander Muller,Quality Control Checks,Early,1.0
14 Alexander Muller,Data Entry,Late,1.0
14 Alexander Muller,Quality Control Checks,Night,1.0
15 Ethan Smith,Problem Resolution,Early,1.0
15 Ethan Smith,Coordination with Transportation,Late,1.0
15 Ethan Smith,Loading and Unloading,Night,1.0
16 Emily Smith,Coordination with Transportation,Early,1.0
16 Emily Smith,Quality Control Checks,Late,1.0
16 Emily Smith,Labeling,Night,1.0
17 Muhammad Ali,Mail Sorting,Early,1.0
17 Muhammad Ali,Coordination with Transportation,Late,1.0
17 Muhammad Ali,Safety Compliance,Night,1.0
18 Sophie Johnson,Scanning and Bar Coding,Early,1.0
18 Sophie Johnson,Customer Service,Late,1.0
18 Sophie Johnson,Bagging and Bundling,Night,1.0
19 Rajesh Patel,Customer Service,Early,1.0
19 Rajesh Patel,Handling Specialised Items,Late,1.0
19 Rajesh Patel,Cleaning and maintenance,Night,1.0
20 Olivia Brown,Safety Compliance,Early,1.0
20 Olivia Brown,Cleaning and maintenance,Late,1.0
20 Olivia Brown,Inventory Management,Night,1.0
21 Aysha Ali,Cleaning and maintenance,Early,1.0
21 Aysha Ali,Mail Sorting,Late,1.0
21 Aysha Ali,Data Entry,Night,1.0
22 William Turner,Mail Sorting,Early,1.0
22 William Turner,Housekeeping,Late,1.0
22 William Turner,Quality Control Checks,Night,1.0
23 Isabella Clark,Inventory Management,Early,1.0
23 Isabella Clark,Quality Control Checks,Late,1.0
23 Isabella Clark,Safety Compliance,Night,1.0
24 Liam Wilson,Data Entry,Early,1.0
24 Liam Wilson,Record Keeping,Late,1.0
24 Liam Wilson,Labeling,Night,1.0
25 Fatima Hussain,Quality Control Checks,Early,1.0
25 Fatima Hussain,Customer Service,Late,1.0
25 Fatima Hussain,Data Entry,Night,1.0
26 James Robinson,Machine Operation,Early,1.0
26 James Robinson,Mail Sorting,Late,1.0
26 James Robinson,Bagging and Bundling,Night,1.0
27 Sofia Garcia,Housekeeping,Early,1.0
27 Sofia Garcia,Bagging and Bundling,Late,1.0
27 Sofia Garcia,Machine Operation,Night,1.0
28 Thomas Williams,Inventory Management,Early,1.0
28 Thomas Williams,Bagging and Bundling,Late,1.0
28 Thomas Williams,Labeling,Night,1.0
29 Priya Sharma,Cleaning and maintenance,Early,1.0
29 Priya Sharma,Data Entry,Late,1.0
29 Priya Sharma,Inventory Management,Night,1.0
30 David Anderson,Handling Specialised Items,Early,1.0
30 David Anderson,Cleaning and maintenance,Late,1.0
30 David Anderson,Cleaning and maintenance,Night,1.0
31 Amir Khan,Handling Oversized Mail,Early,1.0
31 Amir Khan,Package Inspection,Late,1.0
31 Amir Khan,Scanning and Bar Coding,Night,1.0
32 Charlotte White,Customer Service,Early,1.0
32 Charlotte White,Loading and Unloading,Late,1.0
32 Charlotte White,Machine Operation,Night,1.0
33 Abdullah Mohammed,Inventory Management,Early,1.0
33 Abdullah Mohammed,Record Keeping,Late,1.0
33 Abdullah Mohammed,Mail Sorting,Night,1.0
34 Oliver Jones,Data Entry,Early,1.0
34 Oliver Jones,Loading and Unloading,Late,1.0
34 Oliver Jones,Record Keeping,Night,1.0
35 Aaliyah Singh,Handling Specialised Items,Early,1.0
35 Aaliyah Singh,Inventory Management,Late,1.0
35 Aaliyah Singh,Mail Sorting,Night,1.0
36 Alexander Smith,Cleaning and maintenance,Early,1.0
36 Alexander Smith,Bagging and Bundling,Late,1.0
36 Alexander Smith,Safety Compliance,Night,1.0
37 Zara Begum,Coordination with Transportation,Early,1.0
37 Zara Begum,Package Inspection,Late,1.0
37 Zara Begum,Customer Service,Night,1.0
38 George Baker,Inventory Management,Early,1.0
38 George Baker,Handling Oversized Mail,Late,1.0
38 George Baker,Record Keeping,Night,1.0
39 Layla Martin,Data Entry,Early,1.0
39 Layla Martin,Mail Sorting,Late,1.0
39 Layla Martin,Handling Specialised Items,Night,1.0
40 Ethan Davies,Bagging and Bundling,Early,1.0
40 Ethan Davies,Mail Sorting,Late,1.0
40 Ethan Davies,Problem Resolution,Night,1.0
41 Lila Cooper,Cleaning and maintenance,Early,1.0
41 Lila Cooper,Package Inspection,Late,1.0
41 Lila Cooper,Loading and Unloading,Night,1.0
42 Jack Wright,Package Inspection,Early,1.0
42 Jack Wright,Quality Control Checks,Late,1.0
42 Jack Wright,Package Inspection,Night,1.0
43 Aisha Smith,Housekeeping,Early,1.0
43 Aisha Smith,Package Inspection,Late,1.0
43 Aisha Smith,Record Keeping,Night,1.0
44 Noah Hughes,Data Entry,Early,1.0
44 Noah Hughes,Problem Resolution,Late,1.0
44 Noah Hughes,Record Keeping,Night,1.0
45 Ella Scott,Housekeeping,Early,1.0
45 Ella Scott,Machine Operation,Late,1.0
45 Ella Scott,Scanning and Bar Coding,Night,1.0
46 Mohammed Johnson,Machine Operation,Early,1.0
46 Mohammed Johnson,Handling Specialised Items,Late,1.0
46 Mohammed Johnson,Bagging and Bundling,Night,1.0
